,field,description,datatype,num1,num2,key,isnull
0,myfield01,,Char,2,0,Y,N
1,myfield02,,Char,15,0,Y,N
2,myfield03,,Char,8,0,Y,N
3,myfield04,,BigInt,xxx,0,Y,N
4,myfield05,,BigInt,xxx,0,Y,N
5,myfield06,,Char,4,0,N,Y
6,myfield07,,Char,19,0,N,Y
7,myfield08,,Char,12,0,N,Y
8,myfield09,,Char,6,0,N,Y
9,myfield10,,Char,8,0,N,Y
10,myfield11,,Char,2,0,N,Y
11,myfield12,,Char,4,0,N,Y
12,myfield13,,Char,8,0,N,Y
13,myfield14,,Decimal,18,2,N,Y
14,myfield15,,Char,1,0,N,Y
15,myfield16,,Char,1,0,N,Y
16,myfield17,,Decimal,18,2,N,Y
17,myfield18,,Char,8,0,N,Y
18,myfield19,,BigInt,xxx,0,N,Y
19,myfield20,,Char,2,0,N,Y
20,myfield21,,Char,2,0,N,Y
21,myfield22,,BigInt,xxx,0,N,Y
22,myfield23,,Char,2,0,N,Y
23,myfield24,,Char,15,0,N,Y
24,myfield25,,Char,10,0,N,Y
25,myfield26,,Char,30,0,N,Y
26,myfield27,,Char,4,0,N,Y
27,myfield28,,Char,10,0,N,Y
28,myfield29,,Char,30,0,N,Y
29,myfield30,,Char,1,0,N,Y
30,myfield31,,Char,1,0,N,Y
31,myfield32,,Char,4,0,N,Y
32,myfield33,,Char,4,0,N,Y
33,myfield34,,Char,32,0,N,Y
34,myfield35,,Char,70,0,N,Y
35,myfield36,,Char,80,0,N,Y
36,myfield37,,Char,80,0,N,Y
37,myfield38,,Char,5,0,N,Y
38,myfield39,,Char,16,0,N,Y
39,myfield40,,Decimal,19,2,N,Y
40,myfield41,,Decimal,19,2,N,Y
41,myfield42,,Char,4,0,N,Y
42,myfield43,,Char,1,0,N,Y
43,myfield44,,Decimal,8,5,N,Y
44,myfield45,,Decimal,8,5,N,Y
45,myfield46,,Decimal,19,5,N,Y
46,myfield47,,Decimal,19,5,N,Y
47,myfield48,,Char,1,0,N,Y
48,myfield49,,Decimal,19,2,N,Y
49,myfield50,,Char,30,0,N,Y
50,myfield51,,Char,4,0,N,Y
51,myfield52,,Char,1,0,N,Y
52,myfield53,,Char,40,0,N,Y
53,myfield54,,Char,20,0,N,Y
54,myfield55,,VarChar,30,0,N,Y
55,myfield56,,VarChar,60,0,N,Y
56,myfield57,,VarChar,30,0,N,Y
57,myfield58,,VarChar,100,0,N,Y
58,myfield59,,VarChar,30,0,N,Y
59,myfield60,,VarChar,100,0,N,Y
60,myfield61,,VarChar,100,0,N,Y
61,myfield62,,VarChar,100,0,N,Y
62,myfield63,,VarChar,80,0,N,Y
63,myfield64,,VarChar,80,0,N,Y
64,myfield65,,VarChar,80,0,N,Y
65,myfield66,,VarChar,80,0,N,Y
66,myfield67,,VarChar,80,0,N,Y
67,myfield68,,VarChar,80,0,N,Y
68,myfield69,,VarChar,80,0,N,Y
69,myfield70,,VarChar,80,0,N,Y
70,myfield71,,VarChar,80,0,N,Y
71,myfield72,,VarChar,80,0,N,Y
